Model,Target,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,CV_R2_Mean,CV_R2_Std
OLS,% Adults with Obesity,0.2616126333482799,0.1832576309715931,3.1598672011557727,3.15484384979871,2.484335623844667,2.4682238089072923,0.2505577872828807,0.04475687903547199
Ridge,% Adults with Obesity,0.2616031712299536,0.18334522636567396,3.1598874472643317,3.1546746671954966,2.484255811950002,2.468551497384811,0.25062710933373633,0.044361027675908306
Lasso,% Adults with Obesity,0.2616008220236734,0.18339154787460688,3.1598924738443777,3.154585197711141,2.4842005921040036,2.4686116669694584,0.2505938857452928,0.044463324077117235
